Austria,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,28510.8496594,42485.4681404,55960.78892,69806.2343358,71807.1709184,106125.238871,148810.102134,148730.909364,163230.114312,176568.13083,189569.351122,212321.880937
,Developed economies,,,,,24649.2407618,35744.4439784,45276.6347633,57640.8725618,65032.0111847,91235.2281901,121548.295162,121420.201351,129459.558744,135808.688239,142823.316603,158109.035254
,,Europe,,,,21946.9634878,32535.9704686,41646.1429261,53688.0557372,61417.4097795,85282.3847196,114798.719862,114116.563171,120596.984823,125630.853391,130742.168344,145582.647245
,,,European Union,,,20564.206964,30428.0800369,38806.9202264,48620.1917838,55029.4748093,78813.2769481,106571.156864,107261.05218,114614.171187,120848.59385,125094.292993,137898.45894
,,,,Belgium,,164.802721448,302.026091698,319.538853651,399.095564999,360.988258444,-2082.17821391,-2451.04533771,-98.8106537369,440.823735333,3335.15501923,2510.16682258,2715.32615579
,,,,Bulgaria,,278.490160308,435.211208524,1327.41239205,1024.29988014,1748.31568305,2138.80924693,4045.32888171,5128.41209888,5661.5597381,5454.36810437,5412.38547364,5599.53557104
,,,,Croatia,,529.660083371,1002.55883217,1529.49229949,1870.16454179,3355.06734319,4811.00380482,10194.2876659,7654.34641624,8456.32459609,8291.12055062,7826.80366484,7746.20012666
,,,,Cyprus,,,50.3376819497,93.4619571944,162.090007628,279.588945265,821.808479114,1841.59622672,3415.23020099,3149.15256679,3784.1181949,3722.55151988,3914.66117796
,,,,Czech Republic,,2250.83502983,4394.06015353,4481.12194765,5669.06396426,5578.80220321,8532.84797465,11171.7616024,12020.1072722,13916.2002723,14110.2712352,14021.998895,16537.3654212
,,,,Denmark,,138.363782178,566.298921935,521.618761099,584.341288003,686.585511158,2498.35045654,2057.9948241,1916.37000276,2070.14283553,1729.04270629,372.643322115,314.017310534
,,,,Estonia,,,,,27.7868584505,,96.1410560502,157.514625307,162.828823764,221.852468109,212.455788485,265.249586922,273.115896137
,,,,Finland,,135.719888251,197.15592097,133.877938684,130.761686826,120.329419481,161.991094441,238.480086913,256.072680107,717.419020248,219.136788123,978.188720552,1034.40996411
,,,,France,,466.206629123,619.782709006,870.206601445,653.808434129,1001.56546215,1563.27991139,2916.22871712,2585.77738934,2914.3346947,2661.71025574,2520.51802597,2901.36162128
,,,,Germany,,5008.41639567,7684.88611099,9030.44586406,10537.2125967,8522.15417974,14630.5615296,20217.8118127,21125.9961088,23844.8185204,25637.6680104,26134.2007642,28384.2621913
,,,,Greece,,10.5755757079,17.8279290239,31.5749855387,32.6904217064,109.712117762,309.495180436,373.91322269,704.199870294,824.023452975,440.945976101,583.549091229,641.228625712
,,,,Hungary,,2400.65568569,3595.99815428,4361.1370026,5396.64378337,4640.94055137,7630.7024487,10936.225714,9014.03667963,9971.83626135,10152.4470497,8911.09222016,10002.3749208
,,,,Ireland,,38.777110929,35.6558580477,68.2019687635,59.9324397951,153.361024829,304.227177364,222.286994592,308.957255346,133.975841131,92.1977950029,119.038839009,106.871437619
,,,,Italy,,534.947871225,1245.85762826,834.842617642,1386.61872071,1278.79500704,3990.51232647,4319.13935186,3857.79059378,4631.53042188,4055.3667802,3942.51459196,5185.24382521
,,,,Latvia,,,,,5.99324397951,,71.1180414618,209.038100874,229.630392487,181.515655725,195.085189426,218.669171658,220.33987756
,,,,Lithuania,,,,,6.12945406996,,43.4610253378,66.2444685869,61.2347713299,43.2180132679,34.741198117,64.6950212006,62.0118218282
,,,,Luxembourg,,59.0469643691,120.600696338,188.18691381,205.67723657,271.331043928,404.319235718,1023.10901484,821.10261556,1127.99014629,1289.43293011,1907.20922499,8057.57863627
,,,,Malta,,432.717306048,540.081379252,1317.30839667,1486.05208674,1317.72511334,1485.57686609,1767.99126162,1853.74353208,1794.98815106,1417.70812316,1302.95772698,1494.8807262
,,,,Netherlands,,1759.95205739,1990.43584043,3469.45941099,4364.17129781,4888.67759148,6475.69277533,5393.77184227,5803.38628285,3581.33269947,6630.22404064,12140.6676785,6399.09225248
,,,,Poland,,1092.80948982,1461.89017996,2455.27087549,4583.46954342,7972.41389073,4467.26660442,5133.21026583,5129.80379823,4955.66552139,5217.86071719,5050.09335492,6376.66244459
,,,,Portugal,,86.3672016145,108.01627585,77.0429647143,68.1050452218,130.9467212,185.697108261,214.926498082,246.330784668,358.709510124,287.282984429,240.665478866,245.408486384
,,,,Romania,,379.839427509,595.662569739,700.964678958,2164.37833715,3353.88764299,6312.38468012,8364.46823357,8681.42053536,9091.62939113,9994.77545828,9604.62284743,11637.1120963
,,,,Slovakia,,1559.01611894,1449.30575947,1913.44412364,2489.92045331,2897.34366908,4423.80557908,6366.82948085,6212.54589129,6272.37432562,6910.82602543,6853.79054599,7473.08423053
,,,,Slovenia,,721.783042064,1024.58156802,1280.68141345,1126.45744797,1467.5470376,2506.25246115,3048.7176543,3320.5946453,3337.87122473,3106.66483162,3388.72521049,3120.38209837
,,,,Spain,,92.5362874441,105.918872436,147.770932321,182.521521194,436.489070668,754.641439956,1603.1161398,1171.81085136,1176.97056133,927.322749739,875.970587056,906.428119063
,,,,Sweden,,617.789880937,684.802214858,927.041575415,765.500708292,675.968209439,1045.69860964,571.174529149,755.692746185,756.315232189,652.065564658,960.074114616,1232.32003378
,,,,United Kingdom,,1778.45931488,2183.39695457,2675.03277483,3234.98964803,3723.13380278,5227.17604744,6642.11205031,4922.44059531,4983.03692979,4005.92738288,5166.54439308,5317.18387165
,,,Other developed Europe,,,1382.75652381,2107.89043165,2839.22269964,5067.86395336,6387.93497021,6469.10777149,8227.56299849,6855.51099025,5982.81363672,4782.2595408,5647.87535081,7684.18830483
,,,,Liechtenstein,,260.864200795,400.604052183,490.04377556,608.859104282,567.435791868,587.382342444,761.075339098,804.402223379,789.449042361,905.943550898,873.382786208,873.443107452
,,,,Norway,,2.64389392698,6.29221024372,7.57799652928,,25.9534042019,115.896067567,83.90966021,132.211438099,129.654039804,41.4221977549,144.916847489,167.563858982
,,,,Switzerland,,1119.24842909,1700.99416922,2341.60092755,4355.99869238,5524.53599442,5765.82936148,7382.57799918,5918.89732877,5063.71055456,3834.89379215,4629.57571711,6643.1813384
,,North America,,,,2244.665944,2615.46205797,2673.76977541,2740.54701972,2582.36371808,4591.06467659,5049.30060562,5552.88040014,6128.31428139,7000.35142058,8935.67632822,9301.77327422
,,,Canada,,,165.684019424,177.230588531,190.712912653,110.330173259,3.53910057298,748.056436117,725.744955852,1118.92627612,450.907938429,1115.72693953,2103.88208944,2149.30335655
,,,United States,,,2078.98192458,2438.23146944,2483.05686276,2630.21684646,2578.82461751,3843.00824047,4323.55564977,4433.95412402,5677.40634296,5884.62448105,6831.79423878,7152.46991767
,,Other developed countries,,,,457.611329967,593.011451823,956.722061821,1212.26980495,1032.23768712,1361.77879392,1700.27469373,1750.7577803,2734.25963942,3177.48342778,3145.47193077,3224.61473506
,,,Australia,,,423.904326292,574.688535593,862.628604916,1126.45744797,1022.80006559,1335.43877856,1632.55812584,1646.38032916,2691.04162615,3164.1214285,3105.36101763,3185.03272113
,,,Japan,,,6.16908582961,3.14610512186,10.1039953724,12.2589081399,9.43760152795,26.3400153562,67.7165678888,104.37745113,43.2180132679,13.3619992758,40.1109131443,39.5820139329
,Developing economies,,,,,2766.59616283,5045.27350141,6369.74813266,7313.5583524,3459.63547084,4883.43884704,11498.5676474,11199.0046566,16471.8254569,21900.316813,26945.47633,32572.0392654
,,Africa,,,,7.16230864818,45.5881119174,266.792208809,365.463931568,316.234054877,118.530069103,110.407447645,-87.6770589496,-337.10050349,865.857553071,929.02050444,1023.8547604
,,Asia,,,,538.825582318,773.941859977,932.093573101,1229.99482402,876.517241908,2756.48260703,8775.18393881,8423.9561559,10617.2252595,13601.1790628,16242.3320226,20651.2560692
,,,East Asia,,,122.500418617,383.824824867,575.927736225,779.121717337,389.301063028,923.217538236,1198.28883177,1618.5463422,2630.53640757,3932.43638686,5088.91036764,5822.51424953
,,,,China,,92.5362874441,189.815009019,251.336884888,265.609676365,340.933355197,691.425403101,915.645765801,1251.13771422,2009.63761696,3017.13943647,3890.758575,4335.54992611
,,,,"Hong Kong, China",,22.9137473671,190.863710726,215.972901084,499.891031928,16.5158026739,115.896067567,201.677604364,247.722484016,259.308079608,265.903785588,324.769006427,382.626134684
,,,,"Korea, Republic of",,7.05038380527,3.14610512186,108.617950253,13.6210090444,31.8519051568,115.896067567,80.9654616062,119.686143963,361.590711008,649.393164803,873.382786208,1104.33818873
,,,South-East Asia,,,238.831751403,259.0293217,207.131905134,143.020594966,143.923423301,576.846336301,496.097464751,836.411308392,1148.15855248,1265.38133142,1204.62129475,1539.74034199
,,,,Indonesia,,,,,,,28.9740168919,42.690879756,36.1841830586,60.5052185751,92.1977950029,125.508341129,
,,,,Singapore,,205.342428328,216.032551701,156.611928272,83.0881551705,87.2978141335,493.875287929,381.2737192,711.158367036,998.336106489,1063.61514235,957.486313768,1395.92569137
,,,,Thailand,,33.489323075,42.9967699987,50.5199768619,59.9324397951,56.6256091677,53.9970314803,72.1328657946,89.068758298,89.3172274204,109.568394061,121.626639857,143.814650623
,,,South Asia,,,22.9137473671,29.363647804,32.8379849602,32.6904217064,40.1098064938,43.4610253378,85.381759512,118.294444615,226.174269436,335.386181822,304.066599643,353.599324467
,,,,India,,22.9137473671,29.363647804,32.8379849602,32.6904217064,40.1098064938,43.4610253378,85.381759512,118.294444615,226.174269436,335.386181822,304.066599643,353.599324467
,,,West Asia,,,77.0254430726,36.704559755,36.6269832248,162.10771494,194.650531514,769.128448402,4171.92942167,3072.87216128,5539.10870051,7299.66020436,8949.90923289,11824.4669622
,,,,Turkey,,4.40648987829,-25.1688409749,-32.8379849602,79.0018524572,74.3211120326,549.189320177,3858.37227036,2621.9615724,4143.16687195,5859.23668243,6618.30066882,9169.83322778
,,,,United Arab Emirates,,,,,51.0964912281,,152.772089066,231.119590403,338.182941663,1251.88178433,1186.54553569,2037.89316782,2303.67321089
,,Latin America and the Caribbean,,,,2220.60827186,4225.74352951,5170.86235075,5718.09959682,2266.88417406,2008.42617091,2612.97626093,2862.72555967,6191.70070085,7433.28019712,9774.12380298,10896.9284357
,,,South America,,,127.78820647,83.8961365829,150.296931164,249.264465512,353.910067298,374.028218058,675.693579586,743.167452049,1155.3615547,1535.29371679,1930.49943262,2129.51234959
,,,,Brazil,,77.554221858,51.386383657,84.6209612436,196.142530239,290.206246984,285.789166615,593.256018678,578.946928937,860.038464032,1091.67534083,1416.82096429,1537.10154106
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (concluded)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,Transition economies,,,,,943.87013193,1467.13368849,2456.53387491,2771.87534053,2767.57665807,8851.56216046,18087.6841228,18025.2899606,15531.1133681,17750.0798379,18813.3121651,20196.062909
,,South-East Europe,,,,133.075994324,206.594236335,479.939780188,810.450038139,1210.37240596,2846.03865924,4242.59018816,5104.75320995,5798.41678011,5131.0077219,5755.269086,5819.8754486
,,,Albania,,,,,,,,119.847069871,204.621802968,276.948170333,363.031311451,423.575377042,487.800459852,383.945535149
,,,Bosnia and Herzegovina,,,66.0973481744,131.087713411,223.550897614,352.784134249,532.044786138,949.557553592,1242.45181083,1859.31032947,1423.31323696,1328.18272801,1385.76735412,1595.15516149
,,,Montenegro,,,,,,5.44840361774,..,32.9250191953,60.3560713792,105.769150479,119.569836708,96.2063947856,116.451038161,135.898247836
,,,Serbia,,,48.4713886612,53.4837870716,227.339895878,400.457665904,619.342600272,1519.81888605,2465.76633073,2567.68529781,3477.60946763,2932.95884103,3344.73259607,3170.51931602
,,,The FYR of Macedonia,,,18.5072574888,22.022735853,29.0489866956,51.7598343685,58.9850095497,223.890130528,269.394172253,295.040261862,414.892927372,350.084381025,420.517637804,534.357188094
,,CIS,,,,810.794137606,1260.53945216,1976.59409472,1961.42530239,1557.20425211,6005.52350122,13845.0939347,12920.5367506,9732.69658794,12619.072116,13058.0430791,14376.1874604
,,,Belarus,,,,,,,,102.726059889,153.098327401,334.007843618,419.214728699,446.290775811,318.299504307,250.686088242
,,,Kazakhstan,,,,,,,,350.322204238,2721.91160927,2662.3208535,917.662481722,545.169570452,441.220044588,626.715220604
,,,"Moldova, Republic of",,,,,,,,,7.36049650965,27.8339869681,18.7278057494,24.0515986964,31.0536101763,17.1522060376
,,,Russian Federation,,,731.477319797,1147.27966777,1836.40115893,1733.95445135,956.736854896,2389.03939281,5517.42818364,6453.30987856,6754.97547378,8868.35891933,10303.3290764,11206.9875449
,,,Ukraine,,,79.3168178093,113.259784387,140.192935792,227.470851041,600.467397216,3163.43584428,5445.29531784,3443.06418796,1622.11609799,2735.20125175,1964.14084365,2274.64640068
,Unspecified,,,,,151.142602825,228.616972188,1857.87214909,2079.92808107,547.947604796,1155.00967337,-2324.44479775,-1913.58660406,1767.61674266,1109.04593989,987.246023521,1444.74350855
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from Oesterreichische Nationalbank.",,,,,,,,,,,,,,,,,
Note:  Data exclude Special Purpose Entities.,,,,,,,,,,,,,,,,,
