Cyprus,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17,_unnamed_18
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,..,1279.41608289,2054.90005886,3155.31355563,3587.18987157,6833.87747415,9253.18930314,10771.8503756,11829.7642413,11999.3693236,12565.0670176,7364.89339244
,Developed economies,,,,,..,984.730903142,1557.27828677,2504.16121826,2730.50456957,5396.50283616,7163.72099596,6102.33721989,10061.888195,9263.8607459,8365.06624123,4259.02469918
,,Europe,,,,..,973.195184362,1540.85929429,2366.03601395,2598.80166055,5229.40177874,6955.77224857,5866.97302608,9693.56987993,8976.0031955,8330.13092978,4197.01287735
,,,European Union,,,..,975.292587776,1539.59629486,2335.33970797,2268.64014779,4536.73839492,6162.19295689,5748.73424944,9323.1338822,8597.04352404,8330.13092978,3599.32446696
,,,,Austria,,..,..,..,,,1.0799406296,1.7959611484,5.9147222307,14.0890723253,6.9883256212,..,..
,,,,Belgium,,..,..,..,0.5584613708,2.4183853915,2.7525316047,9.6275294346,16.6447242069,,,,
,,,,Bulgaria,,..,..,..,99.3053285387,148.814460293,203.055178381,312.143935981,324.697374977,166.043606975,145.859584094,..,..
,,,,Croatia,,..,..,..,,,,,2.2684699379,12.9654039804,6.0797096705,..,..
,,,,Czech Republic,,..,..,..,,1.290592009,2.6866815663,4.1660410245,2.7833986968,7.6928063617,7.9236655705,..,..
,,,,Denmark,,..,..,..,,5.3216275616,10.4174760734,11.8798413666,,,,,
,,,,Estonia,,..,..,..,,,,10.0249962461,9.4357215822,7.0157241538,10.0081374576,..,..
,,,,Finland,,..,..,..,4.0958374196,3.5674133776,3.7929622113,3.5772013037,3.2426594818,1.8871865794,,,
,,,,France,,..,..,..,1.8619919364,4.3943832115,9.6799556434,13.9849433683,15.4339457738,15.5296727676,14.7382852012,16.8207055121,14.5134051087
,,,,Germany,,..,..,..,0.5584613708,14.169378994,21.111522308,33.8141209653,16.3803013307,20.6726163465,22.8356567623,28.4658093282,29.0268102174
,,,,Greece,,..,..,..,1116.39969489,1117.48988112,1692.34598664,2460.67286715,2082.12139515,1757.14357744,1208.13852652,-1618.66943044,-6669.56934769
,,,,Hungary,,..,..,..,382.55966002,345.359590314,334.096754778,398.92418983,39.9417712993,11.452773516,1.3896479247,..,6.5970023221
,,,,Ireland,,..,..,..,65.6532635938,73.8527710568,122.138651207,139.378361907,11.2727647221,1396.17232462,1283.96787241,..,1244.19463796
,,,,Italy,,..,..,..,,,1.185300691,3.4299913735,4.4395209214,5.9928978398,242.039254881,..,..
,,,,Latvia,,..,..,..,1.0011441648,-5.3015726583,-4.0827023802,3.076687541,81.5118308362,5.0565075524,4.7167857444,5.175601696,1.3194004644
,,,,Lithuania,,..,..,..,1.3961534271,2.0963272394,2.9632517276,25.15817707,,5.7047777514,6.1866056647,2.587800848,2.6388009289
,,,,Luxembourg,,..,..,..,14.4055791653,-46.158129373,-51.5869200752,28.3526325552,28.5576706293,373.418040639,348.7080951,..,383.945535149
,,,,Malta,,..,..,..,,,,0.9863065323,77.9769144912,126.095756711,135.904894634,..,..
,,,,Netherlands,,..,..,..,35.3042933421,41.0983952538,1469.43043668,1650.45885335,1652.82389715,2360.17892257,2250.22748804,..,..
,,,,Poland,,..,..,..,23.0167810831,23.9455544768,28.1969864388,32.1212067681,,108.678897364,184.916707978,78.9279258647,104.23263669
,,,,Portugal,,..,..,..,,,0.5136302994,0.5741187278,,0.5618341725,,,
,,,,Romania,,..,..,..,20.8292470306,37.6324360927,65.994908475,181.833705774,236.825478118,324.768963704,287.603672412,..,252.005488706
,,,,Slovakia,,..,..,..,3.5142203334,2.9433519765,4.5963326797,6.2711430262,6.0121411851,3.1405089641,2.1111958856,..,..
,,,,Slovenia,,..,..,..,,,,,0.7236836612,2.045652628,1.3629239261,..,..
,,,,Spain,,..,..,..,1.0011441648,0.7856803272,1.1326206603,2.7822676807,3.1174065404,,,,
,,,,Sweden,,..,..,..,1.5132941048,1.1289730828,,,,,,,
,,,,United Kingdom,,..,..,..,560.550833606,492.33961681,614.947168514,826.789851936,1051.23401981,2576.41304896,2389.78020847,2700.37018491,3072.88368166
,,,Other developed Europe,,,..,-2.0974034146,1.2629994216,30.6963059823,330.161512753,692.663383823,793.579291685,118.238776641,370.435997724,378.95967146,..,597.688410386
,,,,Gibraltar,,..,..,..,1.6753841125,1.4510312349,2.9632517276,3.3122234293,-25.8438568999,,,,
,,,,Guernsey,,..,..,..,13.8008063637,12.1143412613,19.7681815248,22.2728624382,22.4759444768,105.379922352,110.289942022,..,..
,,,,Isle of Man,,..,..,..,12.6838836221,10.9853681785,12.274447156,13.7641284731,13.1237248555,22.1276227932,,,
,,,,Jersey,,..,..,..,,,,,1.2246954266,7.5631523219,7.4426335966,..,..
,,,,Liechtenstein,,..,..,..,,,,0.736049651,,2.0600586324,..,..,..
,,,,Norway,,..,..,..,-2.1412226218,-1.8143788938,-2.5286414742,10.4519050437,1.7674581725,12.0722317062,..,..,..
,,,,Switzerland,,..,..,3.7889982646,4.7237659366,307.465260779,660.041274804,742.732981796,105.490810609,220.858453804,261.227085841,..,597.688410386
,,North America,,,,..,11.5357187802,16.4189924801,21.9230140569,25.0544726563,34.5054201167,49.2711636356,75.555357625,61.3839848449,75.535381906,34.9353114483,62.0118218282
,,,Canada,,,..,2.0974034146,5.0519976862,3.4679089027,3.8906512299,4.5568226566,7.9787782165,14.5989261648,13.7865462325,23.8244447087,..,..
,,,United States,,,..,9.4383153656,11.3669947939,18.4551051542,21.1638214264,29.9617674677,41.3071064122,60.9564314602,47.5974386124,51.7109371973,34.9353114483,47.4984167194
,,Other developed countries,,,,..,..,..,116.202190258,106.648436366,132.595637303,158.677583755,159.808836178,306.934330229,212.322168492,..,..
,,,Australia,,,..,..,..,112.501362101,103.099898192,126.26086361,149.844987944,167.978111353,175.609193912,208.11313872,..,..
,,,Bermuda,,,..,..,..,2.1412226218,1.8544887002,4.3197625184,6.6244468587,-8.1692751752,88.5393031816,4.2090297719,..,..
,,,Israel,,,..,..,..,0.884003487,1.1089181795,1.2379807217,1.3101683787,,40.1351283215,..,..,..
,,,New Zealand,,,..,..,..,,,0.5794803378,0.6771656789,,2.6362988093,..,..,..
,Developing economies,,,,,..,141.574730484,228.6028953,454.785060477,555.506663537,1035.82110388,1244.88077468,1110.4229931,623.491867006,856.704583567,962.661915464,1184.82161706
,,Africa,,,,..,70.2630143882,127.562941576,145.82788493,127.468965037,423.389406836,474.369279054,457.938670593,115.392091019,160.343991309,737.523241686,729.628456829
,,,North Africa,,,..,..,..,63.1633431405,55.5709571969,68.984500218,77.4177022885,74.4419981463,50.4210154793,46.0988975014,40.1109131443,46.179016255
,,,,Algeria,,..,..,..,13.2655007083,11.6507190863,12.7880774554,14.2940842217,13.5273176665,3.5294710836,..,..,..
,,,,Egypt,,..,..,..,26.4152228397,23.2200388593,29.8564074063,33.6963530212,32.4822627918,19.8946921077,12.934415299,19.4085063602,25.0686088242
,,,,Libya,,..,..,..,23.4131524463,20.6400345416,26.2478253025,29.3389390875,27.7365680137,4.3938313489,..,..,..
,,,,Morocco,,..,..,..,,,,,0.6958496742,12.5908478654,14.2305292287,20.7024067842,21.1104074309
,,,Other Africa,,,..,..,..,82.6645417893,71.8767732368,354.404906618,396.951576766,383.496672447,64.9710755401,114.245093808,697.412328542,7.9164027866
,,,,Ghana,,..,..,..,,,,,,0.8931722742,..,..,..
,,,,Kenya,,..,..,..,,,,,,0.648270199,1.0689599421,..,..
,,,,Liberia,,..,..,..,55.2495368857,47.8509991471,53.4175511424,59.7083476863,63.6006602222,-11.6976755912,-7.9370275698,..,..
,,,,Mauritius,,..,..,..,,,272.342588776,304.518461597,,48.3753628512,..,..,..
,,,,Nigeria,,..,..,..,6.0041407868,5.2001184419,5.8211433937,6.5066789145,,2.7227348359,..,..,..
,,,,Sierra Leone,,..,..,..,,,,,,3.0972909509,..,..,..
,,,,South Africa,,..,..,..,20.6426392067,18.1001400304,22.0070828301,25.0404091258,23.5058019946,4.9988835347,5.2646277147,..,7.9164027866
,,,,Zambia,,..,..,..,,,,0.765491637,,,,,
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (concluded)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,Asia,,,,..,61.8734007299,71.9909670281,270.803367113,388.068276328,565.612319752,718.369738349,872.038811711,289.964057019,201.351967087,225.138673778,308.739708676
,,,East Asia,,,..,..,..,,,5.4523831787,6.2711430262,4.3281849735,6.5691380167,0.5612039696,..,13.1940046443
,,,,China,,..,..,..,,,5.1889830252,5.9767231658,5.3858764783,-16.0626949312,-15.2861271715,..,..
,,,,"Hong Kong, China",,..,..,..,,,,,-1.0576915048,16.5524990816,15.8473311411,..,13.1940046443
,,,,"Korea, Republic of",,..,..,..,,,,,,6.0361158531,..,..,..
,,,South-East Asia,,,..,..,..,1.6045548654,1.5312508479,2.1467112515,4.8579276964,1.5865372572,6.1225518796,0.6680999638,3.881701272,..
,,,,Malaysia,,..,..,..,,,,,,1.3541644157,..,..,..
,,,,Myanmar,,..,..,..,,,,,,4.1489292737,..,..,..
,,,,Philippines,,..,..,..,1.3729977117,1.2091926958,1.3565107909,1.5898672461,1.5865372572,0.6194581902,0.6680999638,..,..
,,,,Singapore,,..,..,..,-1.2340634194,-1.068808373,-1.185300691,0.7066076649,..,..,..,3.881701272,..
,,,,Thailand,,..,..,..,,,0.5794803378,0.8832595812,,,,,
,,,,Viet Nam,,..,..,..,1.3498419963,1.1690828893,1.3960208139,1.5604252601,,,,,
,,,South Asia,,,,44.045471706,51.7829762834,61.3245069195,61.2346978139,60.5688653116,68.629269456,3.5209993515,5.3734396497,9.4335714887,..,73.886426008
,,,,India,,..,44.045471706,51.7829762834,61.0684319494,60.4690723899,59.5152646974,66.7155403635,3.5209993515,3.6159071101,6.0930716698,..,73.886426008
,,,,"Iran, Islamic Republic of",,..,..,..,,0.5638966913,0.8033704684,1.4426573159,,0.5474281681,..,..,..
,,,,Pakistan,,..,..,..,,,,,,1.1812923627,3.3404998189,..,..
,,,West Asia,,,..,..,..,207.804838182,325.040434224,497.431190002,638.596677177,848.282503834,271.898927473,178.78355031,166.913154697,199.229470129
,,,,Bahrain,,..,..,..,0.6510842323,0.5237868848,,1.1482374555,2.9921535991,10.7324732949,12.7740713076,..,..
,,,,Jordan,,..,..,..,1.2572191348,1.0275188664,1.2511507294,1.8254031344,,16.1923489711,..,..,..
,,,,Kuwait,,..,..,..,,,0.8560504991,0.9568645463,1.2386124201,2.9100128934,4.3560117639,..,..
,,,,Lebanon,,..,..,..,8.2148305547,6.6511496768,35.638040777,44.8254237438,59.6899850531,5.8200257868,-7.6430635858,..,..
,,,,Oman,,..,..,..,37.7492644655,63.0089669012,113.051345909,131.39958369,138.028741375,,,,
,,,,Qatar,,..,..,..,49.2685518143,72.9455816099,88.3312414971,115.971983006,123.499400178,1.9304045926,1.9107658964,..,..
,,,,Saudi Arabia,,..,..,..,46.4067778141,93.4853416353,128.420744869,170.837123989,288.109599107,163.522556201,123.037289331,..,..
,,,,Syrian Arab Republic,,..,..,..,1.2340634194,1.068808373,4.1222124033,4.6518337941,5.2745405305,0.7635182344,..,..,..
,,,,Turkey,,..,..,..,,,,6.6833308308,,0.8067362477,..,..,..
,,,,United Arab Emirates,,..,..,..,49.9209981475,74.4379023515,112.695755702,146.164739689,,54.8292528326,22.3279007898,..,..
,,,,Yemen,,..,..,..,6.5162907268,5.663740617,6.3216036855,7.0366346632,6.6523228854,,,,
,,Latin America and the Caribbean,,,,..,9.4383153656,29.0489866956,34.606897679,36.8856858718,43.3820052917,48.2995780963,-245.927191857,320.864936506,580.338352546,..,146.453451552
,,,South America,,,..,..,..,,0.685405811,1.0931106373,1.2512844066,1.294280394,3.8319971764,..,..,..
,,,,Argentina,,..,..,..,,0.5237868848,0.5926503455,0.6771656789,,0.74911223,..,..,..
,,,,Brazil,,..,..,..,,,,,,2.7659528492,..,..,..
,,,Central America,,,..,..,..,0.6510842323,0.5638966913,2.3047513437,2.1051020018,61.7914510692,,,,
,,,,Panama,,..,..,..,,,1.962331144,1.7370771763,-1.5169522898,,,,
,,,Caribbean,,,..,..,..,33.7692056228,35.6363833695,39.9709733031,44.9284706949,-309.01292332,317.88289359,526.863631444,..,..
,,,,Bahamas,,..,..,..,7.4479677455,8.4655285706,9.4428955052,10.5549519948,34.7924837102,410.355035979,465.625588763,..,..
,,,,British Virgin Islands,,..,..,..,9.2622861502,12.2747804873,13.6968079852,15.3098327401,-343.80540703,-92.7314504686,61.2380426809,..,..
,,,,Cayman Islands,,..,..,..,1.3729977117,1.1891377925,1.5408908983,1.7223561833,,,,,
,,Oceania,,,,..,..,..,3.5469107552,3.0837362993,3.437372004,3.842179178,26.3727026523,-102.729217538,-85.3297273751,..,..
,,,American Samoa,,,..,..,..,,,,,,4.566703402,..,..,..
,,,Marshall Islands,,,..,..,..,3.5605317642,3.0837362993,3.437372004,3.842179178,25.7464379455,-107.29592094,-85.3297273751,..,..
,Transition economies,,,,,..,29.363647804,82.0949624005,196.35501798,301.197513664,401.369153998,843.218480146,3529.8923103,962.724463556,1544.08591231,785.397557375,967.120540426
,,South-East Europe,,,,..,..,..,91.3002615234,169.899241807,255.616679025,362.033381324,467.875403941,771.153416744,767.673582392,..,..
,,,Bosnia and Herzegovina,,,..,..,..,2.1875340525,2.0562174329,2.7393615971,4.3132509547,,2.2905547032,,..,..
,,,Montenegro,,,..,..,..,,,,2.0903810087,,10.4587592108,10.903391409,..,..
,,,Serbia,,,..,..,..,,,,355.055630633,467.875403941,758.27444879,756.770190983,..,..
,,,Serbia and Montenegro,,,..,..,..,88.9724310777,167.439566908,252.442707174,,,,,..,..
,,,The FYR of Macedonia,,,..,..,..,,,,0.5593977347,,,,..,..
,,CIS,,,,..,29.363647804,82.0949624005,105.054756456,131.298271857,145.752474974,481.185098822,3062.01690636,191.571046812,776.412329918,785.397557375,967.120540426
,,,Armenia,,,..,..,..,,,,31.0465742777,29.5596941602,2.6507048138,..,..,..
,,,Belarus,,,..,..,..,0.5584613708,,0.8033704684,1.0599114974,3.9802601364,3.3277870216,3.6611878016,..,..
,,,Kazakhstan,,,..,..,..,-3.3044567942,-10.7635845426,-11.4052266492,2.1345439878,1.9622960813,5.5751237116,..,..,..
,,,"Moldova, Republic of",,,..,..,..,1.0474555955,1.0074639631,2.0413511901,6.0061651519,7.2368366117,16.3796270285,..,..,..
,,,Russian Federation,,,..,29.363647804,82.0949624005,87.2030620028,107.41288209,116.409697867,228.425648681,2587.47526254,146.451440961,772.751142117,785.397557375,967.120540426
,,,Ukraine,,,..,..,..,19.1075514874,32.7543758029,37.4028218058,194.022687994,431.273711078,,..,..,..
,,,Uzbekistan,,,..,..,..,,,,0.5593977347,0.5288457524,,..,..,..
,,Georgia,,,,..,..,..,,,,17.9301694975,,17.2007692806,..,..,..
,Unspecified,,,,,..,123.74680146,186.923914389,,,,1.3690523508,29.1978523296,181.65971577,334.718081858,2451.9413035,953.926535782
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from the Central Bank of Cyprus and Eurostat.",,,,,,,,,,,,,,,,,
