Estonia,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,440.219935715,676.782932902,1030.07209623,1418.78672607,1933.3057497,3597.75512049,6172.02372603,6630.33137228,6632.12828106,5775.59828432,4729.72360993,5879.64428963
,Developed economies,,,,,380.344541249,641.336785196,959.063722749,1313.57445697,1554.40839266,3073.71123597,5300.37303996,5864.01151987,5859.72441314,5066.51077647,3969.03955065,5024.67278868
,,Europe,,,,380.290782072,641.160593309,957.269000571,1311.37977848,1556.60262501,3072.39817621,5293.11411831,5855.94661215,5848.88533541,5045.90253745,3873.42030932,4925.58581381
,,,European Union,,,382.34684025,639.935699715,956.809258781,1310.96784002,1555.54560364,3068.7737801,5255.10892063,5798.14792651,5824.08251759,4991.24787878,3809.24284829,4867.66413342
,,,,Austria,,..,..,..,..,,1.31963476935,1.71352358745,1.64777202851,1.58466048649,1.06896137041,1.29390042401,1.97910069664
,,,,Belgium,,..,..,,..,,,0.741938048173,,1.72872053072,1.06896137041,3.49353114483,3.03462106819
,,,,Bulgaria,,,,,1.18668134332,4.67751125729,29.2584890577,55.8691127069,59.2404661636,86.1479064474,63.7368217106,60.6839298861,49.2136373232
,,,,Croatia,,..,,,,,9.73395267489,18.0965167186,28.2361880798,25.9308079608,14.9654591857,11.5157137737,23.3533882204
,,,,Cyprus,,..,92.7209614497,140.329339729,158.94846393,175.404902598,306.459493666,471.626758055,651.100973355,797.94858497,806.130493459,809.334715219,1660.59742453
,,,,Czech Republic,,..,..,..,..,..,0.55972532632,1.96083627017,2.90308484078,4.75398145947,1.06896137041,0.905730296808,2.24298078953
,,,,Denmark,,..,,,2.88077126103,1.41917932977,2.22704829837,3.79948829828,9.89637406652,13.2535240688,17.3706222691,15.1386349609,14.7772852016
,,,,Finland,,-6.65908750408,-12.8182809682,13.4534698383,66.5455433296,68.9157257575,172.473103552,256.127613344,438.897440108,404.520604188,370.395114847,393.345728899,306.100907748
,,,,France,,..,..,..,0.55242062534,0.678327609821,2.70248557555,4.1189338468,11.8364029582,19.0159258379,17.771482783,18.373386021,23.3533882204
,,,,Germany,,..,,-3.1713915475,-0.748836847683,2.83363985877,2.78150562162,10.5549519948,29.0252816104,13.5416441573,16.9697617552,36.4879919571,33.5127717965
,,,,Greece,,,,,,,,,1.12866817156,0.864360265359,0.801721027806,1.16451038161,1.45134051087
,,,,Hungary,,..,..,..,..,0.570974892441,0.949557553592,,-2.3603220949,,-2.80602359732,0.646950212006,0.659700232214
,,,,Ireland,,,,,,,,1.05255100088,5.4137104653,1.44060044226,1.20258154171,0.517560169604,8.18028287946
,,,,Italy,,32.874177088,42.2983346617,44.5055736164,45.2221071914,60.0726931258,54.384229706,225.078094868,213.478329849,226.894569657,98.8789267628,105.711664642,106.871437619
,,,,Latvia,,157.362803938,211.941566341,289.092989595,463.884649117,581.025938068,1249.96411173,2060.5297791,2079.46464109,1929.9724125,1485.45544435,898.484454433,998.654211526
,,,,Lithuania,,191.867382281,296.034858845,463.720341616,551.969140829,611.729994939,1106.87197831,1815.66519751,1840.14523774,1837.19774402,1710.20457248,1041.84862141,1227.30631201
,,,,Luxembourg,,,,,,,3.40708098633,1.65463961537,8.91940112394,,,0.517560169604,1.05552037154
,,,,Malta,,..,..,,,,0.928485541307,1.76063076511,0.641573399615,10.3723231843,,11.5157137737,4.22208148617
,,,,Netherlands,,,..,,0.611072691734,,,8.00085970599,18.6056285888,76.0637033516,116.249549032,89.9260794688,167.036098797
,,,,Poland,,4.98021486045,6.78824615126,4.23988905813,6.40535125086,6.287802018,17.6372742825,65.9191346411,137.701692028,119.137656575,52.2454869787,44.2513945012,49.3455773696
,,,,Portugal,,,..,..,7.08189601671,10.6998807323,13.4887218639,17.0263005261,8.73013001255,24.3461474743,24.0516308342,24.7134980986,2.24298078953
,,,,Romania,,..,..,,,1.50765684409,26.7140435743,83.5121933985,52.7732392916,55.0309368945,49.1722230388,29.3715396251,30.3462106819
,,,,Slovakia,,,,,,,2.19807428148,5.98555576165,10.9081394928,10.6604432728,15.3663196996,12.5508341129,11.8746041799
,,,,Spain,,1.28405115053,1.51327656361,1.06723451121,1.14985330163,18.4033229795,41.7067803151,70.6784316843,68.2030099674,75.1993430862,72.4221328452,73.6229341262,79.4279079586
,,,,Sweden,,0.87689148578,0.66068207559,1.12406948518,3.64188412261,2.76993604845,4.8689518386,14.3397193001,44.5482961425,41.9214728699,32.3360814549,115.674697907,55.0189993667
,,,,United Kingdom,,..,0.752967825832,2.11173503283,1.67090189146,8.22015093084,17.452894175,58.9325513542,76.5211969728,46.5313942851,24.7197316907,8.15157267127,5.80536204349
,,,Other developed Europe,,,-2.05605817721,1.22489359411,,,1.05702137113,3.62439611302,38.0051976779,57.7986856387,24.8028178145,54.6546586673,64.177461031,57.9216803884
,,,,Liechtenstein,,,,,,,,0.624170104019,,,,,
,,,,Norway,,-2.05606817721,1.2815134863,,,0.920166148975,2.95139872067,28.9282233822,46.260086341,21.1768265013,52.7799676639,56.9316186565,48.1581169517
,,,,Switzerland,,,,,,,,8.83259581158,11.8503199517,3.60150110566,1.87068239821,6.85767224726,9.63162339033
,,North America,,,,,,1.79472217802,2.21513850754,-2.60123892114,0.767811447634,5.61900303547,6.74695844107,9.50796291894,19.2413046674,94.195950868,97.5036943213
,,,Canada,,,,..,,,0.804555530258,,-2.5172898063,-2.708246932,-3.74556114989,0.801721027806,,0.659700232214
,,,United States,,,,,1.79472217802,2.2355985307,-3.4057944514,,8.13629284177,9.45520537307,13.2535240688,18.4395836395,93.8077807408,96.8439940891
,,Other developed countries,,,,,,,,,0.545248317874,1.63991862235,1.31794928294,1.33111480865,1.36693435241,1.42329046641,1.58328055731
,,,Australia,,,,,,,,0.564993329391,1.66200011188,1.28453849858,1.29654039804,1.20258154171,1.42329046641,1.58328055731
,Developing economies,,,,,..,..,0.582252733333,2.33245264033,0.497893480599,10.4465100903,34.6253176807,52.1052936043,61.8939674014,37.4670960328,15.7855851729,19.2632467807
,,Africa,,,,,,,,,5.12050898525,7.40467948871,24.2698549369,26.1656258328,13.1188284183,,
,,,North Africa,,,,,,,,4.45804759904,5.94140278259,22.6693906862,22.293291844,12.1794786141,,
,,,,Egypt,,,,,,,,0.638891097038,1.25113771422,,,,
,,,,Morocco,,,,,,,4.23679147005,5.30250168555,21.418252972,22.1117761883,11.9977551811,,
,,,Other Africa,,,,,,,..,0.662461386209,1.46327670612,1.60046425067,3.87233398881,0.939349804246,,
,,,,Liberia,,,,,,,,,,2.01828121961,,,
,,,,Seychelles,,,,,,,,0.554981436828,0.54137104653,0.560393572041,0.7188765216,,
,,,,South Africa,,,,,,,0.662451386209,,,0.805295647226,,,
,,Asia,,,,,,,,,2.30212734213,12.1418950423,14.3595838769,14.9663979947,8.78953486818,5.56377182325,6.86088241503
,,,East Asia,,,,,,,,,7.93904153531,7.21597112149,7.51705310774,1.49387351515,2.84658093282,3.95820139329
,,,,China,,,,,,..,,7.33105452361,6.54516203556,6.77082207864,0.668100856505,2.84658093282,3.6943213004
,,,,"Hong Kong, China",,,,,,,,,0.50657856282,0.576240176906,0.668100856505,,
,,,South-East Asia,,,,,,,,,0.911229467895,2.68319634373,2.9791617146,3.35520250137,,
,,,,Thailand,,,,,,,,0.911229467895,2.68319634373,2.96907751151,3.34584908938,,
,,,West Asia,,,,,,,,1.8003500496,3.23421216634,4.33932856833,4.34485093387,3.89636419514,2.58780084802,2.50686088242
,,,,Turkey,,,,,,,1.61332594057,2.61150416162,3.48203176971,3.45744106143,3.07326393992,2.58780084802,2.50686088242
,,,,United Arab Emirates,,,,,,,,0.622698004717,0.857286798618,0.887409872435,0.823100255215,,
,,Latin America and the Caribbean,,,,..,..,0.582252733333,2.29426059709,..,3.00410875138,15.0566516601,13.4549693004,20.7619435739,15.5587327463,10.2218133497,12.4023643656
,,,South America,,,,,,,,,1.07904878832,1.00480692955,10.218178937,5.84454629271,7.50462245926,8.70804306523
,,,,Brazil,,,,,,,,0.940671453934,0.875378890148,10.0842030959,5.61204719464,7.50462245926,8.70804306523
,,,Central America,,,,..,,,..,,1.24686810874,1.37778235492,1.37433282192,0.966073838507,,
,,,,Belize,,,..,,,..,..,0.987778631595,0.933830262781,0.914781280838,1.00348748647,,
,,,Caribbean,,,..,..,0.519102762256,2.22606051989,..,2.87108167383,12.7307347631,11.0723800159,9.16943181501,8.74811261508,2.71719089042,3.6943213004
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (concluded)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,British Virgin Islands,,,,0.519092762256,2.22605051989,..,2.71565558323,9.14615296289,7.74898197193,5.61834172483,5.61204719464,2.71719089042,3.6943213004
,,,,Dominican Republic,,,,,,,,3.41085408257,3.15915752088,3.38108923799,3.13606542044,,
,Transition economies,,,,,12.4351144365,22.4243986069,57.9603164542,95.541488153,360.071641396,483.704090999,784.169642947,662.721682914,683.7147323,649.55571293,692.366116888,785.439096475
,,CIS,,,,12.4351144365,22.4243986069,57.9603164542,95.541488153,360.071641396,483.704090999,784.043042407,662.553287293,683.540419647,649.394032523,692.366116888,785.439096475
,,,Azerbaijan,,,,,,,..,,20.9494451658,28.0580505632,5.47284108016,4.93058432101,,
,,,Belarus,,,,,,2.77301513905,37.4578404644,68.50774594,91.2053843504,70.2613333036,88.7409872435,110.503881666,97.0425318008,111.357399198
,,,Kazakhstan,,,,..,..,4.88039752461,,0.512313298679,0.958336645557,2.33527150663,1.58466048649,4.00860513903,10.4805934345,0.527760185772
,,,"Moldova, Republic of",,,,,,-9.77852706929,,3.77584120132,5.48356989969,,3.84064077908,5.62006440492,,
,,,Russian Federation,,,6.29687403608,9.29464323168,30.0101292554,59.1935750071,255.558452375,322.953611282,503.251867358,293.602636435,324.567279642,322.826333863,327.486197317,333.676377454
,,,Ukraine,,,6.04482281504,13.0143881874,27.5308613909,38.4239234959,67.0624167574,87.2091568429,159.192818511,265.266246002,255.850638546,198.826814896,242.347549417,324.704454296
,,Georgia,,,,,,,,,,2.95450329897,2.77365680137,3.43727265524,2.83542003501,,
,Unspecified,,,,,47.4402700297,13.0217290994,12.4658042907,7.33832830699,18.3278221673,29.8932834278,52.8557254358,51.492875891,26.7951682261,22.0646988869,52.5323572149,50.2691576947
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from Eesti Pank.",,,,,,,,,,,,,,,,,
