Singapore,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,71350.0798595,84798.2147999,90380.7031985,110127.983841,121090.133397,160400.821596,220275.67305,217052.181768,265250.819439,333486.213592,343520.335204,375714.834491
,Developed economies,,,,,18314.147369,22440.0230348,22659.4543744,29692.6796426,30356.808076,41454.029734,64344.9902859,59311.8399111,76617.5003563,103645.281553,99306.1428462,110381.691868
,,Europe,,,,5875.55952998,6854.18946156,6371.82502352,7247.64353042,7861.37483476,18670.5138237,31960.6577852,25481.3785436,35949.9786233,47793.8640777,46420.696548,54942.868819
,,,European Union,,,5586.75660724,6530.95306651,6005.52681091,6875.99461378,7482.3338541,17997.1961398,28602.3452678,20974.1523068,31176.0723956,42699.6504854,41776.2743138,49280.2615447
,,,,France,,88.4386817936,143.334293118,241.886171214,145.672664953,158.334334816,146.061554512,,,,,,
,,,,Germany,,84.4240572663,65.1885977541,63.0291627469,240.788346187,365.220526379,390.519040167,413.40549542,412.242912729,711.201368106,1332.50485437,1290.76651034,1289.08868002
,,,,Netherlands,,698.536445165,694.212496401,434.677798683,607.295874648,1521.81228218,1994.0010433,2707.74354704,2999.86103391,3543.10959099,5826.7184466,5703.54424541,5039.14997957
,,,,United Kingdom,,3662.36660724,3977.82896631,4429.79774224,4420.36969029,4338.36077395,13169.5357329,21798.4318623,13844.4969427,23152.6293288,30681.4757282,28597.755055,35728.6473233
,,,Other developed Europe,,,288.802922744,323.236395048,366.298212606,371.648916636,379.040980651,673.317683881,3358.31251735,4507.2262368,4773.90622773,5094.21359223,4644.42223418,5662.60727421
,,,,Norway,,46.8548784441,17.4488914483,12.4647224835,5.63104419146,3.54524696551,285.993740219,300.999167361,1204.9749861,1397.60581445,1650.87378641,2063.58114861,2688.02615447
,,,,Switzerland,,241.9480443,305.787503599,353.833490122,366.017872445,375.495733686,387.323943662,3057.31334999,3302.25125069,3376.30041328,3443.33980583,2580.84108557,2974.58111974
,,North America,,,,3442.76083198,4188.82810251,4800.85841957,5992.59395275,6047.35007812,5721.11371935,9718.15154038,8329.62757087,10164.38649,11399.9223301,6478.28092566,8164.52799346
,,,Canada,,,30.1181469476,12.7267492082,63.3231420508,74.7337495409,142.711212595,147.235263432,70.2886483486,175.305725403,805.329913068,408.621359223,613.438917506,761.994278709
,,,United States,,,3412.64268504,4176.1013533,4737.53527752,5917.86020321,5904.63886552,5573.87845592,9647.86289203,8154.32184547,9359.05657688,10991.3009709,5864.84200815,7402.53371475
,,Other developed countries,,,,8995.82700702,11397.0054708,11486.7709313,16452.4421594,16448.0831631,17062.4021909,22666.1809603,25500.8337966,30503.135243,44451.4951456,46407.1653725,47274.2950552
,,,Australia,,,1360.69145327,2087.35963144,2833.96048918,6966.76459787,5602.75207307,7089.39749609,11843.7413267,12591.4396887,16464.7285165,25881.631068,27207.964942,30903.9640376
,,,Bermuda,,,6565.95856834,7856.43535848,6867.6505174,7317.48071979,8508.95325081,7498.43505477,7026.64446295,6681.14230128,6550.73393188,7049.55339806,7676.7125394,7731.42623621
,,,Japan,,,792.232009724,944.486035128,1157.74929445,1380.34031093,1527.34046389,1647.95252999,2740.21648626,5586.22846026,6690.03847798,10537.3980583,10365.1879757,7474.62198611
,,,New Zealand,,,276.944975689,508.724445724,627.410630292,787.856530787,809.037375315,826.617110068,1055.57868443,642.023346304,797.63431666,982.912621359,1157.29991543,1164.28279526
,Developing economies,,,,,51827.9971907,60085.1713216,65834.5484478,77291.3453299,87821.4757842,115292.514345,154502.428532,157361.172874,188156.619638,228598.990291,242790.804951,263821.904373
,,Africa,,,,3168.71317126,4223.5531241,3928.62182502,7647.57008202,7179.24528302,11251.4997392,22552.1787399,9114.36909394,13146.5013539,20112.6213592,16131.2370262,16410.6252554
,,,Other Africa,,,2041.31756888,3120.87532393,3519.87300094,6792.01860693,6317.08929215,10246.9353156,21282.334166,7873.1934408,11852.3585578,18471.9223301,14199.6617206,13826.2362076
,,,,Mauritius,,2041.31756888,3120.87532393,3519.87300094,6792.01860693,6317.08929215,10246.9353156,21282.334166,7873.1934408,11852.3585578,18471.9223301,14199.6617206,13826.2362076
,,Asia,,,,33827.6966613,39495.7673481,43949.8471308,50787.5504958,60732.7845211,76595.5268649,99998.0571746,116776.264591,138133.817871,167809.553398,188497.885754,205923.498161
,,,East Asia,,,18060.5432091,20577.0227469,21837.3118532,24847.8393928,30450.1261868,37593.8967136,47475.0902026,57672.8043357,67304.4748468,82721.3980583,102242.023526,114172.456069
,,,,China,,8491.26431659,10389.9222574,11651.0465663,13577.3044436,16376.7576012,21856.3510694,27939.4948654,37851.3062813,44352.7860909,56259.6504854,65496.5018836,74557.0085819
,,,,"Hong Kong, China",,6143.94928687,6834.49467319,6516.34524929,7203.0848329,9207.9077034,10158.3854982,13856.3003053,13934.4080044,16691.7486105,19423.6893204,29624.3561159,31699.3870045
,,,,"Korea, Republic of",,1487.85662885,1426.72041463,1501.76387582,1732.4641939,2035.09193607,2174.03495044,2122.32861504,1758.47693163,1985.17885136,2502.05825243,2583.91635273,2824.02942378
,,,,Taiwan Province of China,,1937.47297677,1925.88540167,2168.15616181,2334.98592239,2830.36894604,3405.12519562,3556.96641687,4128.6131184,4274.761294,4536.0,4537.24917352,5092.03105844
,,,South-East Asia,,,14301.6868774,17616.9881946,20399.2826905,24079.2630677,28197.1517846,35528.6254564,47215.4454621,52072.1928849,61360.1254097,74027.4951456,75806.9501038,81555.9460564
,,,,Brunei Darussalam,,30.7117936251,32.7670601785,36.1006585136,38.9276533235,38.0963826463,74.4653103808,132.736608382,111.172873819,143.936155052,138.019417476,116.706388868,121.209644463
,,,,Cambodia,,123.823646677,149.208177368,137.464722484,76.0803035867,76.6734767456,103.090766823,117.818484596,186.423012785,193.743765142,210.873786408,177.673560391,209.644462607
,,,,Indonesia,,3019.63775257,4417.39130435,6058.1491063,7325.13159505,8792.33265233,10888.1716223,13951.8456842,15513.549194,20066.8376799,24344.1553398,26782.8092566,29895.9542297
,,,,Lao People's Dem. Rep.,,,29.0238986467,39.2756349953,50.8018117273,58.4665304651,80.0078247261,100.957535387,147.512506948,161.251246972,172.970873786,173.137541324,148.099713935
,,,,Malaysia,,6071.24468395,7625.51108552,7984.65428034,9012.60864243,10065.6171133,11941.9014085,15739.4532334,16952.5430795,18879.0081231,23055.9223301,23729.1458445,26170.6579485
,,,,Myanmar,,564.665688817,611.402245897,665.745531515,429.550740605,880.242759284,649.517475222,1109.90840966,862.909949972,1576.95596409,4397.90291262,3344.42992235,3053.94360441
,,,,Philippines,,1481.18624527,1602.93694212,1853.18673565,1794.160852,1944.05720466,2181.72926448,2840.27199556,2982.00389105,3547.38492233,4066.6407767,4147.53594218,4026.97180221
,,,,Thailand,,2434.352604,2350.30233228,2765.40451552,4418.28865222,5309.21764211,8526.47365676,11752.1509853,13344.844358,14559.7833832,15519.5339806,15059.9677097,15287.2905599
,,,,Viet Nam,,576.438390059,798.445148287,859.301505174,933.712816746,1032.44802307,1083.26812728,1470.30252567,1971.2340189,2231.22416987,2121.47572816,2275.54393788,2642.17409072
,,,South Asia,,,264.259573204,-7.1408004607,368.179680151,400.048965602,756.579738012,1624.80438185,3218.77601998,4683.78265703,6801.48211486,8256.93203883,8150.91873607,7645.44340008
,,,,India,,264.259573204,-7.1408004607,368.179680151,400.048965602,756.579738012,1624.80438185,3218.77601998,4683.78265703,6801.48211486,8256.93203883,8150.91873607,7645.44340008
,,Latin America and the Caribbean,,,,14831.5873582,16365.8508494,17956.079492,18856.2247521,19909.4459801,27445.4877413,31952.1926173,29991.3841023,35347.9407154,38868.3495146,36340.9702468,39954.1479362
,,,Central America,,,788.112468936,744.889144832,616.415804327,691.945158526,623.542843408,771.387584768,758.395781293,712.896053363,827.419124982,838.368932039,727.685092642,898.406211688
,,,,Mexico,,788.112468936,744.889144832,616.415804327,691.945158526,623.542843408,771.387584768,758.395781293,712.896053363,827.419124982,838.368932039,727.685092642,898.406211688
,,,Caribbean,,,11642.7162021,13477.915347,15625.9407338,17269.0659811,18189.7007571,25289.7104851,29522.6200389,27901.4730406,32142.9385777,35558.2135922,32990.0053817,35112.9546383
,,,,British Virgin Islands,,9085.85019449,10746.8471062,12919.2732832,14532.9905741,15587.4894844,21901.0824204,24623.9245074,21471.2340189,25231.3666809,27996.1165049,25118.5515492,25962.9750715
,,,,Cayman Islands,,2556.86600756,2731.06824071,2706.66745061,2736.07540703,2602.21127268,3388.62806468,4898.6955315,6430.23902168,6911.57189682,7562.09708738,7871.45383255,9149.97956682
,,Oceania,,,,,,,,,,,1479.15508616,1528.35969788,1808.46601942,1820.71192435,1533.63302002
,Unspecified,,,,,1207.93529984,2273.02044342,1886.70037629,3143.95886889,2911.84953732,3654.27751695,1428.25423258,379.168982768,476.699444207,1241.94174757,1423.38740678,1511.23825092
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from the Singapore Department of Statistics.",,,,,,,,,,,,,,,,,
